Collected 35 unique asset paths
[  1/35] cached  425537B  /_next/static/chunks/245-c8b6243f194fd2dd.js
[  2/35] cached   84025B  /_next/static/chunks/259-b8ba24460fe72549.js
[  3/35] cached  448807B  /_next/static/chunks/436-ab1195ac63b6a515.js
[  4/35] cached   16627B  /_next/static/chunks/442.596bf4df51d3b09e.js
[  5/35] cached  789779B  /_next/static/chunks/798-26b25d7eaec30e75.js
[  6/35] cached    2397B  /_next/static/chunks/app/layout-5f4432377d11fa93.js
[  7/35] cached    4628B  /_next/static/chunks/app/templates/%5B...slug%5D/page-6387cbb209a19301.js
[  8/35] cached  447328B  /_next/static/chunks/d46d1245-c8b31540c118e3ac.js
[  9/35] cached    2157B  /_next/static/chunks/main-app-6cf552111d9f97f7.js
[ 10/35] cached  112594B  /_next/static/chunks/polyfills-42372ed130431b0a.js
[ 11/35] cached    9626B  /_next/static/chunks/webpack-9921f3b0b554b2ea.js
[ 12/35] cached   90910B  /_next/static/css/68165cb776a47886.css
[ 13/35] cached    3315B  /_next/static/css/97cc91616cea400d.css
[ 14/35] cached   65652B  /_next/static/media/017fd45b2c6557bc-s.p.woff2
[ 15/35] cached   28388B  /_next/static/media/4cf2300e9c8272f7-s.p.woff2
[ 16/35] cached   79924B  /_next/static/media/54302bc38fd09502-s.p.woff2
[ 17/35] cached   31288B  /_next/static/media/93f479601ee12b01-s.p.woff2
[ 18/35] cached    1131B  /_next/static/media/avalanche.8ce41fd7.png
[ 19/35] cached   39128B  /_next/static/media/b5b83cdb4e0c5af3-s.p.woff2
[ 20/35] cached    2589B  /_next/static/media/bitcoin.44da609b.png
[ 21/35] cached    3431B  /_next/static/media/bitcoincash.bf0b9b4a.png
[ 22/35] cached    9578B  /_next/static/media/bnb.b1d88c4b.png
[ 23/35] cached    1518B  /_next/static/media/cardano.b94cd59b.png
[ 24/35] cached   10440B  /_next/static/media/dai.b81ad6d4.png
[ 25/35] cached 2030532B  /_next/static/media/de30a32fa2634c38-s.p.ttf
[ 26/35] cached    1597B  /_next/static/media/dogecoin.b536496c.png
[ 27/35] cached    1977B  /_next/static/media/ethereum.0a38a4d0.png
[ 28/35] cached    1312B  /_next/static/media/litecoin.33c34d3d.png
[ 29/35] cached    5450B  /_next/static/media/polygon.c1fff624.png
[ 30/35] cached   25705B  /_next/static/media/solana.0c81d69c.png
[ 31/35] cached    9443B  /_next/static/media/sui.3447f6ae.png
[ 32/35] cached    2113B  /_next/static/media/tether.84db185b.png
[ 33/35] cached    2040B  /_next/static/media/tron.3e08cdff.png
[ 34/35] cached    1082B  /_next/static/media/xrp.cebc03fb.png
[ 35/35] cached    1746B  /_next/static/media/zcash.e67b5b93.png
summary: ok=0 cached=35 fail=0 total=35
